Pass,ReFrame
100,0
100,0
100,0
12.5,87.5
100,0
100,0
100,0
100,0
100,0
75,25
100,0
100,0
100,0
100,0
100,0
50,50
100,0
100,0
100,0
100,0
100,0
85,15
100,0
75,25
100,0
100,0
90,10
100,0
100,0
100,0
100,0
65,35
50,50
100,0
100,0
100,0
100,0
100,0
37.5,62.5
100,0
100,0
75,25
100,0
100,0
67.5,32.5
87.5,12.5
100,0
100,0
