pass,OptFl
100,0
0,100
60,40
80,20
100,0
0,100
0,100
100,0
0,100
0,100
0,100
0,100
50,50
50,50
0,100
0,100
0,100
100,0
0,100
0,100
0,100
50,50
50,50
100,0
0,100
0,100
86.666667,13.333333
90,10
82.758621,17.241379
0,100
0,100
0,100
13.793103,86.206897
30.769231,69.230769
100,0
0,100
0,100
100,0
0,100
100,0
100,0
100,0
100,0
100,0
80,20
60,40
0,100
