pass,Kbase
84.615385,15.384615
0,100
100,0
15,85
100,0
75,25
100,0
0,100
100,0
100,0
25,75
57.692308,42.307692
75,25
100,0
100,0
0,100
75,25
100,0
0,100
25,75
100,0
30,70
100,0
75,25
85,15
85,15
87.5,12.5
40,60
100,0
0,100
82.5,17.5
65,35
90,10
0,100
25,75
100,0
0,100
40,60
41.935484,58.064516
25,75
75,25
100,0
0,100
25,75
65.384615,34.615385
100,0
75,25
50,50
25,75
25,75
50,50
87.5,12.5
75,25
100,0
