pass,iCN
100,0
50,50
100,0
22.727273,77.272727
100,0
100,0
100,0
50,50
100,0
50,50
50,50
100,0
50,50
100,0
100,0
0,100
100,0
100,0
50,50
50,50
100,0
50,50
100,0
50,50
90,10
90,10
90,10
60,40
100,0
25,75
90,10
65,35
82.608696,17.391304
58.823529,41.176471
80,20
100,0
40,60
65.217391,34.782609
62.5,37.5
50,50
100,0
100,0
50,50
50,50
41.176471,58.823529
100,0
100,0
100,0
50,50
50,50
35.294118,64.705882
86.363636,13.636364
80.769231,19.230769
100,0
