pass,iSB
80.769231,19.230769
50,50
100,0
0,100
100,0
50,50
100,0
50,50
100,0
100,0
100,0
51.851852,48.148148
100,0
100,0
100,0
0,100
50,50
100,0
50,50
100,0
100,0
100,0
100,0
100,0
100,0
100,0
95,5
30,70
100,0
25,75
55,45
25,75
100,0
56,44
40,60
100,0
40,60
60,40
65,35
100,0
50,50
100,0
50,50
100,0
26.923077,73.076923
100,0
100,0
100,0
100,0
100,0
46.153846,53.846154
100,0
40,60
100,0
