pass,isb-equality
80.769231,19.230769
50,50
100,0
50,50
100,0
50,50
51.851852,48.148148
50,50
100,0
50,50
100,0
30,70
100,0
25,75
55,45
56,44
40,60
100,0
40,60
100,0
50,50
100,0
50,50
100,0
100,0
100,0
100,0
100,0
100,0
100,0
40,60
100,0
