pass,iML-ineq
33.333333,66.666667
100,0
100,0
70,30
25,75
50,50
100,0
100,0
50,50
75,25
60,40
10,90
50,50
95,5
95,5
86.666667,13.333333
83.333333,16.666667
82.857143,17.142857
37.142857,62.857143
14.285714,85.714286
25,75
97.222222,2.777778
