pass,icn-equality
100,0
50,50
100,0
100,0
100,0
50,50
100,0
100,0
100,0
50,50
100,0
60,40
100,0
25,75
90,10
58.823529,41.176471
80,20
100,0
40,60
50,50
100,0
100,0
50,50
50,50
100,0
100,0
100,0
50,50
50,50
86.363636,13.636364
80.769231,19.230769
100,0
