pass,ICN-inequality
22.727273,77.272727
100,0
100,0
50,50
50,50
50,50
100,0
100,0
0,100
50,50
100,0
50,50
50,50
90,10
90,10
90,10
65,35
82.608696,17.391304
65.217391,34.782609
62.5,37.5
41.176471,58.823529
35.294118,64.705882
