pass,basic
50,50
97.777778,2.222222
75,25
100,0
50,50
100,0
68.103448,31.896552
75,25
100,0
50,50
75,25
100,0
91,9
46,54
100,0
30,70
80,20
70,30
56.140351,43.859649
50,50
100,0
41.666667,58.333333
45.762712,54.237288
32.608696,67.391304
75,25
75,25
100,0
50,50
75,25
27.826087,72.173913
100,0
91.666667,8.333333
75,25
75,25
75,25
70.093458,29.906542
100,0
