pass,Domain
91.818182,8.181818
22.222222,77.777778
100,0
65,35
41.666667,58.333333
61.666667,38.333333
91.666667,8.333333
91.666667,8.333333
33.333333,66.666667
70,30
38.333333,61.666667
58.333333,41.666667
86.666667,13.333333
86.666667,13.333333
87.288136,12.711864
73.043478,26.956522
81.111111,18.888889
