pass,ineq
22.222222,77.777778
100,0
100,0
65,35
41.666667,58.333333
61.666667,38.333333
91.666667,8.333333
91.666667,8.333333
33.333333,66.666667
75,25
70,30
38.333333,61.666667
58.333333,41.666667
86.666667,13.333333
86.666667,13.333333
91,9
70,30
87.288136,12.711864
45.762712,54.237288
32.608696,67.391304
27.826087,72.173913
73.043478,26.956522
