MR #,Total Cases (including those that could not be run)
MR1,160
MR10,160
MR11,160
MR12,160
MR13,80
MR14,80
MR15,80
MR16,80
MR17,80
MR18,80
MR19,80
MR2,160
MR20,80
MR21,80
MR22,80
MR23,80
MR24,80
MR25,80
MR26,80
MR27,80
MR28,80
MR29,80
MR3,160
MR30,80
MR31,80
MR32,80
MR33,160
MR34,160
MR35,160
MR36,160
MR37,160
MR38,160
MR39,160
MR4,160
MR40,160
MR41,160
MR42,160
MR43,160
MR44,136
MR45,16
MR46,16
MR47,16
MR48,16
MR49,16
MR5,160
MR50,16
MR51,16
MR52,16
MR53,16
MR54,16
MR6,160
MR7,160
MR8,160
MR9,160
